evidence_id,source_type,local_relative_path,sha256,captured_at_utc,sanitized_summary,ip_privacy_review,status
EV-0143,screenshot,.reference-local/screenshots/EV-0143.png,b055d6dc800046f7cfa3c44e0298d19f5ee18dad291c61fd7141cf88061d05f9,2026-07-18T18:37:57.9447180Z,"raw screenshot capture",pass,captured
EV-0144,ui_dump,.reference-local/ui-dumps/EV-0144.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:38:00.2048796Z,"raw UI dump capture",pass,captured
EV-0145,screenshot,.reference-local/screenshots/EV-0145.png,b58662789a9fc5f1933aaddc94dd7347925c8bd7b0763895d5d9f8a5aacb366c,2026-07-18T18:38:29.7133163Z,"raw screenshot capture",pass,captured
EV-0146,ui_dump,.reference-local/ui-dumps/EV-0146.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:38:31.9220239Z,"raw UI dump capture",pass,captured
EV-0147,screenshot,.reference-local/screenshots/EV-0147.png,6bef11eb457e09c64fbc51a7f29bfd52de08b0c357416ecfc890bc96f1f94f41,2026-07-18T18:38:34.1248777Z,"raw screenshot capture",pass,captured
EV-0148,ui_dump,.reference-local/ui-dumps/EV-0148.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:38:36.4784561Z,"raw UI dump capture",pass,captured
EV-0149,screenshot,.reference-local/screenshots/EV-0149.png,4c18f9ed8d9c2ad3bad255650fea003098fd92adc002151875d3b38b44c41943,2026-07-18T18:39:17.6482838Z,"raw screenshot capture",pass,captured
EV-0150,ui_dump,.reference-local/ui-dumps/EV-0150.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:39:19.8628934Z,"raw UI dump capture",pass,captured
EV-0151,screenshot,.reference-local/screenshots/EV-0151.png,71ad1c36ea4d319a4d418fdb95bc5235268c933636a741a6ce6fe70510d8d086,2026-07-18T18:39:22.1396195Z,"raw screenshot capture",pass,captured
EV-0152,ui_dump,.reference-local/ui-dumps/EV-0152.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:39:24.4232000Z,"raw UI dump capture",pass,captured
